slug_sheet,slug_web,titulo,estado_sheet,en_sitemap,en_web_json,migrar,categoria_wp,estilo_viaje,tags,precio_usd_web,quote_only,duracion,duracion_ok,dias_itinerario,itinerario_ok,includes_count,excludes_count,gsc_clics_16m,gsc_impresiones_16m,gsc_posicion,en_hub_packages,url_web
amazon-rainforest-4d,amazon-rainforest-4d,≫ Discover the Magic of the Amazon Rainforest (4 days),publish,yes,yes,yes,,,,0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,4,yes,5,8,3,661,77.67,no,/tour/amazon-rainforest-4d/
amazon-rainforest-express-3d,amazon-rainforest-express-3d,Amazon Rainforest Express 3 days – Peru Grand Travel,publish,yes,yes,yes,,,,0,yes,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,3,yes,4,8,,,,no,/tour/amazon-rainforest-express-3d/
andean-wedding-full-day,andean-wedding-full-day,Traditional Andean Wedding Ceremony in Chinchero,publish,yes,yes,yes,Day Tours in Cusco,Culture,Cusco,299,no,1 day,yes,1,yes,1,5,24,4112,28.37,yes,/tour/andean-wedding-full-day/
atv-rainbow-mountain,atv-rainbow-mountain,Rainbow Mountain ATV Adventure Full Day,publish,yes,yes,yes,Day Tours in Cusco,"Adrenaline, Adventure",Cusco,170,no,1 day,yes,0,no,1,1,7,5927,28.38,yes,/tour/atv-rainbow-mountain/
ausangate-7-lakes-day-trip,ausangate-7-lakes-day-trip,Ausangate 7 Lakes Full-Day Tour from Cusco,publish,yes,yes,yes,Day Tours in Cusco,"Adventure, Trekking",Cusco,90,no,1 day,yes,1,yes,1,1,6,3132,37.66,yes,/tour/ausangate-7-lakes-day-trip/
ballestas-huacachina-islands-full-day,ballestas-huacachina-islands-full-day,Ballestas & Huacachina Islands with sandboard & buggies-Full Day,publish,yes,yes,yes,,,,150,no,2D/1N,yes,1,yes,1,1,,,,no,/tour/ballestas-huacachina-islands-full-day/
challenge-of-the-incas-15d,challenge-of-the-incas-15d,Peru Travel Packages 2026 - Customized Tours & Machu Picchu,private,no,yes,yes,Tours in Peru,Combined Travel,"Peru, Recommended",0,yes,7D/6N,yes,0,no,8,8,3,397,29.05,no,/tour/challenge-of-the-incas-15d/
choquequirao-trek-5d,choquequirao-trek-5d,5-Day Choquequirao Trek from Cusco,publish,yes,yes,yes,Alternative Inca Trail Treks,Trekking,Others,620,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,5,yes,11,8,1,274,59.69,no,/tour/choquequirao-trek-5d/
city-tour-in-cusco,city-tour-in-cusco,▷ Cusco City Tour - 1 day tour,publish,yes,yes,yes,,,,60,no,2D/1N,yes,1,yes,1,1,2,294,65.31,no,/tour/city-tour-in-cusco/
classic-inca-trail-4d,classic-inca-trail-4d,4-Day Classic Inca Trail to Machu Picchu,publish,yes,yes,yes,Inca Trail Treks,Trekking,Inca Trail,780,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,4,yes,4,9,5,936,64.17,yes,/tour/classic-inca-trail-4d/
classic-inca-trail-7-days,classic-inca-trail-7-days,7-Day Classic Inca Trail to Machu Picchu with Transfers,publish,yes,yes,yes,Inca Trail Treks,Trekking,Inca Trail,879,no,1s;animation-fill-mode:both;animation-delay:0s;animation-iteration-count:1;}		@keyframes center{from{transform:scale(0);}to{transform:scale(1);}}.ht_ctc_an_entry_center{animation: center .25s;},no,7,yes,17,9,2,1357,47.54,yes,/tour/classic-inca-trail-7-days/
classic-machu-picchu-5d,classic-machu-picchu-5d,5-Day Classic Machu Picchu Itinerary with Cusco,publish,yes,yes,yes,"Best Selling Packages in Peru, Tours in Machu Picchu",Traditional,"Cusco Blog, Machu Picchu Tours, Popular Deals",730,no,5D/4N,yes,5,yes,6,7,0,2912,5.16,yes,/tour/classic-machu-picchu-5d/
