tipo,prioridad,titulo,url_wp,slug,seo_title,meta,keyword,clics,impresiones,url_categoria_301,estado_drupal,notas
tour,P1,Salkantay SKY Trek 4 days,https://www.perugrandtravel.com/tour/salkantay-trek-4-days/,salkantay-trek-4-days,4-Day Salkantay Sky Camp Trek to Machu Picchu,Experience the Salkantay Trek to Machu Picchu in 4 days with Sky Camp lodging and spectacular mountain landscapes.,Salkantay Trek 4 days,1,"3,259",,pendiente,
tour,P1,"Tour of Maras, Moray & Salineras from Cusco",https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,maras-moray-and-the-salineras-full-day,"Maras, Moray & Salt Mines Tour from Cusco",Visit the Moray terraces and Maras Salt Mines on a scenic cultural day tour departing from Cusco and surroundings.,maras salt mines tour,1,"2,816",,pendiente,
tour,P1,Inca Bridge of Q'eswachaka Full Day,https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,qeswachaka-bridge-full-day,Q’eswachaka Bridge Full-Day Tour from Cusco,Visit Peru’s last remaining Inca suspension bridge on a unique cultural day tour from Cusco and surrounding Sacred Valley area.,q'eswachaka rope bridge tour,1,"1,611",,pendiente,
tour,P1,Sacred Valley + Short Inca Trail 3 days,https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/,sacred-valley-short-inca-trail-3d,3-Day Sacred Valley & Short Inca Trail Tour,Combine Sacred Valley excursions with the Short Inca Trail on a complete Machu Picchu unforgettable adventure.,inca trail 3 days,1,"1,603",,pendiente,
tour,P0,Incredible Machu Picchu 2D/1N,https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/,incredible-machu-picchu-2d,2-Day Sacred Valley & Machu Picchu Tour by Train,Visit Sacred Valley and Machu Picchu on a 2-day trip featuring scenic train rides and cultural experiences.,machu picchu tour from cusco 2 days,1,"1,329",,pendiente,
tour,P0,Salkantay SKY Trek 5 days,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,the-classic-salkantay-trek-5d,5-Day Salkantay Sky Camp Trek to Machu Picchu,"Hike the Salkantay Trek to Machu Picchu in 5 days with Sky Camp accommodation, breathtaking scenery, and unforgettable adventure experiences.",salkantay trek 5 days,1,"1,218",,pendiente,
tour,P1,Corpus Christi in Cusco 4 days,https://www.perugrandtravel.com/tour/cusco-corpus-christi/,cusco-corpus-christi,"4-Day Corpus Christi Festival in Cusco, Peru","Join the Corpus Christi festival in Cusco, Peru, on a 4-day cultural tour with traditional processions and Andean heritage celebrations.",Corpus Christi in Cusco,1,"1,211",,pendiente,
tour,P1,Machu Picchu Moderate 4D/3N,https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/,machu-picchu-moderate-4d,4-Day Machu Picchu Itinerary with Cusco & Sacred Valley,"Explore Cusco, Sacred Valley, and Machu Picchu on a 4-day journey ideal for travelers seeking comfort, culture, and adventure.",Sacred Valley and Machu Picchu Tour,1,"1,209",,pendiente,
tour,P1,Humantay Lake Hike (Full Day),https://www.perugrandtravel.com/tour/humantay-lake-full-day/,humantay-lake-full-day,Humantay Lake Full-Day Tour from Cusco,Hike to the stunning Humantay Lake and experience one of the most beautiful natural landscapes near Cusco. Book Now.,humantay lake hike,1,"1,107",,pendiente,
tour,P1,Cusco Planetarium Experience,https://www.perugrandtravel.com/tour/cusco-planetarium/,cusco-planetarium,Cusco Planetarium Experience - Peru Grand Travel,"Book your excursion to the Cusco Planetarium. Learn more about Inca astronomy, how they used it for religion and agriculture.",Cusco Planetarium,1,784,,pendiente,
