#,Prioridad,Tipo de solapamiento,Keyword / términos en común,Título,URL actual,Categoría,Keyword principal,Clics,Impresiones,CTR,Posición,Palabras,Modificado,Acción sugerida
1,Alta,Keyword principal idéntica,aguas calientes,Relax in the Hot Springs in Aguas Calientes,https://www.perugrandtravel.com/blog/hot-springs-in-aguas-calientes/,Cusco,Aguas Calientes,796,111674,0.00712789010870928,8.21,1160,2025-03-04,CANÓNICA — consolidar aquí
,,,,What to do in Aguas Calientes ou Machu Picchu Pueblo,https://www.perugrandtravel.com/blog/what-to-do-in-aguas-calientes/,Cusco,aguas calientes,10,2401,0.0041649312786339,34.73,1576,2024-09-30,Fusionar y redirigir 301 a la canónica
2,Alta,Keyword principal idéntica,virgin of candelaria,The Virgin of Candelaria 2026: 11 Secrets of Peru’s Most Intense Cultural Feast,https://www.perugrandtravel.com/blog/virgin-of-candelaria-2026/,Puno,Virgin of Candelaria,190,79996,0.0023751187559378,7.49,2712,2026-04-14,CANÓNICA — consolidar aquí
,,,,Traditions of the Virgin of Candelaria in Puno: A celebration of faith and culture,https://www.perugrandtravel.com/blog/virgin-of-candelaria-in-puno/,Puno,Virgin of Candelaria,19,18002,0.00105543828463504,46.58,1181,2024-12-10,Fusionar y redirigir 301 a la canónica
3,Alta,Keyword principal idéntica,huacachina,Origin of the oasis of Ica: The legend of Huacachina,https://www.perugrandtravel.com/blog/legend-of-huacachina-ica/,Ica,Huacachina,111,64276,0.00172692762461883,9.91,711,2024-09-30,CANÓNICA — consolidar aquí
,,,,Huacachina: Everything You Need to Know About This Oasis,https://www.perugrandtravel.com/blog/huacachina-oasis-peruvian/,Ica,Huacachina,11,20539,0.000535566483275719,20.9,951,2025-05-30,Fusionar y redirigir 301 a la canónica
4,Alta,Keyword principal idéntica,things to do in huaraz,Explore the Heart of the Andes – The Best Things to Do in Huaraz,https://www.perugrandtravel.com/blog/the-best-things-to-do-in-huaraz/,Huaraz,things to do in huaraz,356,59619,0.00597125077575941,5.47,2962,2026-08-19,CANÓNICA — consolidar aquí
,,,,"Things to do in Huaraz, the best attractions to see and visit",https://www.perugrandtravel.com/blog/things-to-do-in-huaraz/,Huaraz,Things to do in huaraz,1,1398,0.000715307582260372,17.66,1034,2024-09-30,Fusionar y redirigir 301 a la canónica
5,Media,Keyword compartida (principal vs. secundaria),things to do in ica,Things to do in Ica Peru: must-see places worth your time,https://www.perugrandtravel.com/blog/things-to-do-in-ica-peru/,Ica,things to do in ica,156,22420,0.00695807314897413,9.57,1024,2025-08-07,CANÓNICA — consolidar aquí
,,,,Things to do and see in Ica: Natural and Cultural Wealth,https://www.perugrandtravel.com/blog/things-to-do-in-ica/,Ica,ica,80,29616,0.00270124257158293,11.36,2952,2024-09-30,Diferenciar intención de búsqueda o fusionar
6,Media,Keyword compartida (principal vs. secundaria),restaurants,Best Restaurants in Trujillo Peru: Where to Eat Like a Local and a Food Lover,https://www.perugrandtravel.com/blog/best-restaurants-in-trujillo-peru/,Perú,Best Restaurants in Trujillo Peru,42,10466,0.00401299445824575,6.69,3135,2026-01-16,CANÓNICA — consolidar aquí
