Consulta,Clics,Impresiones,CTR,Posición
aguas calientes hot springs,200,3791,0.0528,5.95
hot springs aguas calientes,176,3320,0.053,5.73
coca tea,89,13022,0.0068,9.23
arequipa höhe,84,537,0.1564,2
arequipa altitude,70,1370,0.0511,13.49
machu picchu,67,7636,0.0088,24.68
lima catacombs,61,5964,0.0102,4.84
day of the dead peru,60,880,0.0682,3.28
arequipa,55,1912,0.0288,11.78
huaraz,44,5913,0.0074,21.36
peru,42,6069,0.0069,21.7
peru day of the dead,38,671,0.0566,2.94
catacombs lima,37,4565,0.0081,5.1
peru dia de los muertos,36,668,0.0539,4.18
does peru celebrate day of the dead,35,929,0.0377,3.16
catacombs lima peru,34,1754,0.0194,6.95
lima catacombs tour,34,815,0.0417,5.38
peru animals,33,16563,0.002,4.1
siete borreguitos cusco,33,1055,0.0313,6.44
ica peru,30,10623,0.0028,14.76
calle siete borreguitos,30,1673,0.0179,7.53
what to wear to machu picchu,30,1277,0.0235,4.2
coca tea peru,29,3557,0.0082,8.3
cusco,29,1027,0.0282,25.99
day of the dead in peru,28,596,0.047,4.82
huaraz altitude,27,6185,0.0044,7.14
san blas market cusco,27,2337,0.0116,7.78
arequipa hoogte,26,141,0.1844,2.01
candelaria 2026,24,8163,0.0029,7.41
peru animal,23,8612,0.0027,4.32
huaraz peru,23,2021,0.0114,17.93
lima,22,2105,0.0105,47.47
inca hydraulic engineering,22,246,0.0894,2.37
höhe arequipa,21,87,0.2414,2
dia de la candelaria 2026,19,14190,0.0013,9.04
catacombs of lima,19,2350,0.0081,4.4
machu picchu circuit 2,19,2115,0.009,8.51
machu picchu weather,19,784,0.0242,5.52
hoogte arequipa,19,75,0.2533,2
hot springs in aguas calientes,18,607,0.0297,10.9
what to wear to machu picchu in october,18,533,0.0338,4.59
arequipa altura,18,257,0.07,2.05
dia de los muertos in peru,18,223,0.0807,2.61
inca temples,17,3742,0.0045,4.67
calle siete borreguitos cusco,17,423,0.0402,7.94
carnival lima,17,163,0.1043,5.83
cusco puma shape,16,1007,0.0159,1.12
calle 7 borreguitos,16,725,0.0221,9.6
guinea pig peru,15,5156,0.0029,8.55
incan temple,15,3310,0.0045,5.02
dia de los muertos peru,15,699,0.0215,8.83
cusco weather,15,395,0.038,18.48
inca irrigation system,14,1726,0.0081,4.82
cusco peru,14,1017,0.0138,41.09
machu picchu altitude,14,638,0.0219,39
aguas calientes thermal baths,14,445,0.0315,7.07
agua calientes hot springs,14,417,0.0336,7.26
inca temple,13,8185,0.0016,5.45
cusco altitude,13,2935,0.0044,28.56
does it snow in peru,13,2068,0.0063,3.82
trujillo peru,13,1937,0.0067,14.5
what to eat during holy week,13,1164,0.0112,4.35
machu picchu elevation,13,755,0.0172,24.85
lima peru catacombs,13,634,0.0205,7.12
inca sun disk,13,259,0.0502,2.53
arequipa elevation,13,161,0.0807,10.7
siete borreguitos,12,1479,0.0081,6.74
machu picchu face,12,1460,0.0082,1.63
cusco elevation,12,1274,0.0094,23.4
dia de los muertos en peru,12,929,0.0129,6.84
machu picchu tickets,11,2087,0.0053,56.25
inca aqueducts,11,1566,0.007,7.79
machu picchu circuit 3,11,1444,0.0076,8.64
circuit 2 machu picchu,11,1322,0.0083,7.17
why do peruvians eat guinea pigs,11,794,0.0139,4
coca tee,11,598,0.0184,9.21
queros peru,11,465,0.0237,4.69
bridge of sighs lima,10,3374,0.003,8.81
circuit 1a machu picchu,10,999,0.01,2.66
lord of miracles peru,10,673,0.0149,8.15
snow in peru,10,562,0.0178,5.98
holy week meals,10,265,0.0377,3.62
cuzco,10,214,0.0467,4.15
carnaval lima 2026,10,67,0.1493,7.06
lima carnival,10,62,0.1613,2.27
geoglyphs,9,12711,0.0007,7.27
queros,9,10279,0.0009,8.02
chicha de jora,9,8466,0.0011,6
animals in peru,9,8417,0.0011,4.61
machu picchu peru,9,2798,0.0032,52.45
lord of miracles,9,1638,0.0055,8.22
pisco sour,9,667,0.0135,3.08
hot springs in aguas calientes peru,9,412,0.0218,12.5
all saints day peru,9,353,0.0255,5.17
peru carnival 2026,9,209,0.0431,3.42
huarez,9,204,0.0441,3.37
clima en lima perú,9,82,0.1098,2.76
laguna paron vs laguna 69,9,49,0.1837,2.69
lima carnival 2026,9,45,0.2,1.42
huacachina,8,8897,0.0009,21.87
peru guinea pig,8,3095,0.0026,9.01
lima peru,8,2284,0.0035,48.73
calle 7 borreguitos cusco,8,1588,0.005,9.64
huaraz elevation,8,1586,0.005,6.48
peru catacombs,8,1102,0.0073,5.52
machu picchu hot springs,8,1048,0.0076,10.12
peru famous animal,8,675,0.0119,3.51
hot springs aguas calientes peru,8,536,0.0149,8.72
peru coca tea,8,518,0.0154,8.68
catacombs in lima,8,449,0.0178,8.59
weather in machu picchu,8,414,0.0193,3.83
aguas caliente hot springs,8,210,0.0381,8.44
candelaria puno 2026,8,152,0.0526,5.58
altura arequipa,8,108,0.0741,2.01
peru currency,8,99,0.0808,3.99
clima machu picchu,8,66,0.1212,2.82
how high is arequipa,8,64,0.125,2.34
clima en cusco,8,57,0.1404,2.53
qhaswa raymi,8,48,0.1667,2.67
pisco,7,3637,0.0019,2.69
downtown lima,7,3357,0.0021,6.3
coca tea benefits,7,2680,0.0026,7.17
lima downtown,7,1513,0.0046,4.82
animal peru,7,1279,0.0055,9.17
machu picchu tours,7,1168,0.006,77.63
circuit 3a machu picchu,7,848,0.0083,3.44
cusco puma,7,650,0.0108,2.05
what to do in ica,7,573,0.0122,6.36
hot springs machu picchu,7,536,0.0131,8.58
perou,7,291,0.0241,3.65
butterfly sanctuary,7,201,0.0348,13.63
where to exchange money in lima,7,191,0.0366,6.35
aguas calientes hot spring,7,184,0.038,6.6
huaraz höhe,7,155,0.0452,5.9
