Consulta,Clics,Impresiones,CTR,Posición
peru grand travel,3640.0,7508.0,0.4848,1.54
machu picchu tour package,268.0,15074.0,0.0178,12.55
aguas calientes hot springs,200.0,3791.0,0.0528,5.95
hot springs aguas calientes,176.0,3320.0,0.053,5.73
machu picchu travel package,126.0,5297.0,0.0238,12.58
peru travel packages,116.0,11208.0,0.0103,15.41
peru travel agency,110.0,8003.0,0.0137,8.03
machu picchu travel packages,91.0,6725.0,0.0135,10.25
coca tea,89.0,13022.0,0.0068,9.23
machu picchu packages,88.0,5416.0,0.0162,14.5
machu picchu tour packages,86.0,5597.0,0.0154,15.74
arequipa höhe,84.0,546.0,0.1538,1.99
machu picchu all inclusive packages,77.0,2224.0,0.0346,6.26
peru gran travel,77.0,121.0,0.6364,1.09
peru vacation packages,71.0,13009.0,0.0055,13.1
machu picchu,70.0,7837.0,0.0089,24.19
arequipa altitude,70.0,1371.0,0.0511,13.49
lima catacombs,66.0,6217.0,0.0106,5.53
machu picchu vacation all inclusive,66.0,1860.0,0.0355,5.17
day of the dead peru,60.0,880.0,0.0682,3.28
machu picchu vacation packages,59.0,4579.0,0.0129,12.3
machu picchu trips all inclusive,59.0,1755.0,0.0336,3.96
arequipa,55.0,2002.0,0.0275,14.51
lima cathedral,53.0,7915.0,0.0067,7.94
perugrandtravel,52.0,78.0,0.6667,1.18
machu picchu travel,51.0,7142.0,0.0071,14.01
machu picchu tours packages,50.0,1989.0,0.0251,12.16
miraflores boardwalk,48.0,3695.0,0.013,7.56
huaraz,44.0,6054.0,0.0073,21.92
peru,42.0,6131.0,0.0069,21.57
catacombs lima,38.0,4670.0,0.0081,5.64
peru day of the dead,38.0,671.0,0.0566,2.94
costa verde peru,36.0,8045.0,0.0045,3.41
peru dia de los muertos,36.0,669.0,0.0538,4.19
peru vacation packages all inclusive,35.0,6732.0,0.0052,8.42
does peru celebrate day of the dead,35.0,929.0,0.0377,3.16
travel agency peru,34.0,2784.0,0.0122,6.31
catacombs lima peru,34.0,1810.0,0.0188,7.6
peru tours 2025,34.0,912.0,0.0373,6.56
lima catacombs tour,34.0,829.0,0.041,5.32
peru animals,33.0,16583.0,0.002,4.11
siete borreguitos cusco,33.0,1055.0,0.0313,6.44
costa verde,30.0,128531.0,0.0002,6.24
ica peru,30.0,10684.0,0.0028,14.77
costa verde lima,30.0,8685.0,0.0035,5.75
calle siete borreguitos,30.0,1677.0,0.0179,7.54
"basílica and convent of san francisco, lima",30.0,1659.0,0.0181,8.43
what to wear to machu picchu,30.0,1277.0,0.0235,4.2
coca tea peru,29.0,3557.0,0.0082,8.3
cusco,29.0,1078.0,0.0269,24.95
basilica and convent of santo domingo lima,29.0,901.0,0.0322,7.39
all inclusive machu picchu,28.0,2143.0,0.0131,7.25
day of the dead in peru,28.0,597.0,0.0469,4.82
huaraz altitude,27.0,6243.0,0.0043,7.16
san blas market cusco,27.0,2338.0,0.0115,7.78
all inclusive peru tours,26.0,516.0,0.0504,6.39
arequipa hoogte,26.0,141.0,0.1844,2.01
machu picchu vacation,24.0,63465.0,0.0004,7.41
candelaria 2026,24.0,8163.0,0.0029,7.41
lima,24.0,2310.0,0.0104,43.97
"basilica and convent of santo domingo, lima",24.0,2201.0,0.0109,6.72
peru animal,23.0,8620.0,0.0027,4.32
love park lima,23.0,3088.0,0.0074,7.05
huaraz peru,23.0,2070.0,0.0111,18.99
trips to machu picchu packages,23.0,1075.0,0.0214,15.06
machu picchu vacation packages with airfare,23.0,782.0,0.0294,4.87
cathedral of lima,22.0,4893.0,0.0045,8.08
catacombs of lima,22.0,2526.0,0.0087,5.7
inca hydraulic engineering,22.0,246.0,0.0894,2.37
machu picchu all inclusive,21.0,2509.0,0.0084,6.28
peru machu picchu tour package,21.0,502.0,0.0418,4.91
"basílica and convent of san francisco, lima tours",21.0,477.0,0.044,4.13
höhe arequipa,21.0,87.0,0.2414,2.0
perú grand travel,21.0,37.0,0.5676,1.03
machu picchu trips,20.0,21929.0,0.0009,32.18
dia de la candelaria 2026,19.0,14190.0,0.0013,9.04
machu picchu circuit 2,19.0,2115.0,0.009,8.51
travel agency,19.0,1510.0,0.0126,6.71
machu picchu weather,19.0,784.0,0.0242,5.43
hoogte arequipa,19.0,75.0,0.2533,2.0
machu picchu tours,18.0,15891.0,0.0011,50.82
hot springs in aguas calientes,18.0,607.0,0.0297,10.9
what to wear to machu picchu in october,18.0,532.0,0.0338,4.41
arequipa altura,18.0,257.0,0.07,2.05
dia de los muertos in peru,18.0,223.0,0.0807,2.61
inca temples,17.0,3742.0,0.0045,4.67
peru travel agent,17.0,1399.0,0.0122,5.64
machu picchu package tour,17.0,1079.0,0.0158,10.86
travel agency in peru,17.0,840.0,0.0202,5.47
calle siete borreguitos cusco,17.0,426.0,0.0399,7.97
best travel packages to machu picchu,17.0,325.0,0.0523,4.86
carnival lima,17.0,164.0,0.1037,5.83
cusco puma shape,16.0,1007.0,0.0159,1.12
calle 7 borreguitos,16.0,725.0,0.0221,9.6
guinea pig peru,15.0,5160.0,0.0029,8.58
incan temple,15.0,3346.0,0.0045,5.67
machu picchu package,15.0,1330.0,0.0113,17.02
dia de los muertos peru,15.0,698.0,0.0215,8.74
santo domingo convent lima,15.0,584.0,0.0257,7.43
all inclusive machu picchu tours,15.0,537.0,0.0279,4.31
cusco weather,15.0,395.0,0.038,18.24
peru tour packages,14.0,16336.0,0.0009,34.53
parque del amor lima,14.0,5530.0,0.0025,8.91
peru travel agencies,14.0,2573.0,0.0054,6.6
best peru travel agency,14.0,1819.0,0.0077,8.21
grand travel,14.0,1735.0,0.0081,20.67
inca irrigation system,14.0,1728.0,0.0081,4.82
cusco peru,14.0,1024.0,0.0137,40.83
machu picchu altitude,14.0,639.0,0.0219,38.94
peru grand travel reviews,14.0,457.0,0.0306,6.26
aguas calientes thermal baths,14.0,445.0,0.0315,7.07
agua calientes hot springs,14.0,417.0,0.0336,7.26
inca temple,13.0,8254.0,0.0016,6.12
machu picchu vacations,13.0,4823.0,0.0027,17.57
peru tour operators,13.0,3301.0,0.0039,12.29
cusco altitude,13.0,2936.0,0.0044,28.55
does it snow in peru,13.0,2080.0,0.0062,3.84
trujillo peru,13.0,1938.0,0.0067,14.51
what to eat during holy week,13.0,1166.0,0.0111,4.4
machu picchu elevation,13.0,752.0,0.0173,24.55
lima peru catacombs,13.0,663.0,0.0196,7.96
travel agent peru,13.0,618.0,0.021,5.26
travel agency in lima peru,13.0,434.0,0.03,4.22
inca sun disk,13.0,259.0,0.0502,2.53
agencia de turismo em cusco peru,13.0,251.0,0.0518,1.7
arequipa elevation,13.0,161.0,0.0807,10.7
peru packages,12.0,2283.0,0.0053,23.22
siete borreguitos,12.0,1481.0,0.0081,6.75
machu picchu face,12.0,1460.0,0.0082,1.63
cusco elevation,12.0,1274.0,0.0094,23.4
dia de los muertos en peru,12.0,929.0,0.0129,6.84
all inclusive trips to machu picchu,12.0,853.0,0.0141,6.53
all inclusive trip to machu picchu,12.0,543.0,0.0221,3.51
agencias de turismo cusco,12.0,150.0,0.08,3.31
peru tour operator,11.0,3263.0,0.0034,11.54
machu picchu tickets,11.0,2092.0,0.0053,56.12
chinchero ruins,11.0,1846.0,0.006,8.35
inca aqueducts,11.0,1567.0,0.007,7.8
machu picchu circuit 3,11.0,1444.0,0.0076,8.64
circuit 2 machu picchu,11.0,1320.0,0.0083,7.03
peru travel agents,11.0,1209.0,0.0091,6.05
love park lima peru,11.0,951.0,0.0116,6.2
why do peruvians eat guinea pigs,11.0,794.0,0.0139,4.0
coca tee,11.0,598.0,0.0184,9.21
queros peru,11.0,465.0,0.0237,4.68
machu picchu trip packages,11.0,412.0,0.0267,13.9
best peru tour packages all inclusive,11.0,353.0,0.0312,4.81
agencias de viajes cusco,11.0,282.0,0.039,2.98
peru travel,10.0,4742.0,0.0021,28.91
bridge of sighs lima,10.0,3375.0,0.003,8.81
trips to peru,10.0,3294.0,0.003,26.21
machu picchu trip package,10.0,2408.0,0.0042,15.48
circuit 1a machu picchu,10.0,1000.0,0.01,2.66
basilica and convent of san francisco,10.0,984.0,0.0102,8.19
lord of miracles peru,10.0,673.0,0.0149,8.15
travel agencies in peru,10.0,660.0,0.0152,6.05
agencia de viajes cusco,10.0,602.0,0.0166,6.74
snow in peru,10.0,567.0,0.0176,5.97
holy week meals,10.0,265.0,0.0377,3.62
cuzco,10.0,216.0,0.0463,4.12
peru local travel agency,10.0,148.0,0.0676,8.09
carnaval lima 2026,10.0,67.0,0.1493,7.06
lima carnival,10.0,62.0,0.1613,2.27
geoglyphs,9.0,12714.0,0.0007,7.27
parque del amor,9.0,11075.0,0.0008,8.5
queros,9.0,10288.0,0.0009,8.02
chicha de jora,9.0,8470.0,0.0011,6.0
animals in peru,9.0,8420.0,0.0011,4.61
peru vacation,9.0,7860.0,0.0011,18.95
huaca pucllana,9.0,3399.0,0.0026,21.67
machu picchu peru,9.0,2803.0,0.0032,52.37
