Keyword Stats 2026-08-26 at 14_06_41,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,_sheet
1 de agosto de 2025 - 31 de julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
Keyword,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026,Searches: Apr 2026,Searches: May 2026,Searches: Jun 2026,Searches: Jul 2026,Keyword Stats 2026-08-26 at 14_
atv & bike tours,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
cultural & historic packages,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
cusco & sacred valley packages,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
custom cultural tours,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
custom machu picchu tours,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
inca trail & machu picchu,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
luxury nature tours,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
luxury peru packages,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
luxury travel cusco,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
machu picchu & cusco,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
machu picchu & inca trail,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
machu picchu & sacred valley,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
machu picchu offers,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
mountain & lagoon tours,,,,,,,,,,,,,,,,,,,,,,,,Keyword Stats 2026-08-26 at 14_
