Keyword,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026,Searches: Apr 2026,Searches: May 2026,Searches: Jun 2026,Searches: Jul 2026
atv & bike tours,,,,,,,,,,,,,,,,,,,,,,,
cultural & historic packages,,,,,,,,,,,,,,,,,,,,,,,
cusco & sacred valley packages,,,,,,,,,,,,,,,,,,,,,,,
custom cultural tours,,,,,,,,,,,,,,,,,,,,,,,
custom machu picchu tours,,,,,,,,,,,,,,,,,,,,,,,
inca trail & machu picchu,,,,,,,,,,,,,,,,,,,,,,,
luxury nature tours,,,,,,,,,,,,,,,,,,,,,,,
luxury peru packages,,,,,,,,,,,,,,,,,,,,,,,
luxury travel cusco,,,,,,,,,,,,,,,,,,,,,,,
machu picchu & cusco,,,,,,,,,,,,,,,,,,,,,,,
machu picchu & inca trail,,,,,,,,,,,,,,,,,,,,,,,
machu picchu & sacred valley,,,,,,,,,,,,,,,,,,,,,,,
machu picchu offers,,,,,,,,,,,,,,,,,,,,,,,
mountain & lagoon tours,,,,,,,,,,,,,,,,,,,,,,,
nature & adventure packages,,,,,,,,,,,,,,,,,,,,,,,
peru multidestination packages,,,,,,,,,,,,,,,,,,,,,,,
perú packages,,,,,,,,,,,,,,,,,,,,,,,
salkantay trek,8100,-0.18,0,Bajo,15,1.24,6.35,,,,Y,9900,12100,9900,6600,5400,5400,4400,8100,12100,12100,9900,9900
inca trail,2900,-0.45,-0.17,Bajo,18,1.64,7.36,,,,,3600,2900,2900,2400,2400,2400,1900,2400,2900,4400,2900,2400
belmond,2400,-0.16,-0.33,Bajo,20,2,23.6,,,,,2400,2400,2400,2400,1900,2400,1900,2900,6600,1900,1900,1600
ausangate trek,1600,-0.32,-0.46,Bajo,13,0.9,3.97,,,,,1900,1900,1900,1600,1300,1000,720,1600,1600,1900,1600,1300
choquequirao trek,1000,-0.23,-0.38,Bajo,12,0.89,4.44,,,,Y,1300,1300,1300,1000,1000,1000,720,880,1000,1300,1300,1000
machu picchu tours,1000,-0.12,-0.32,Bajo,30,0.76,9.95,,,,Y,1300,1300,1300,1300,1300,1000,880,1000,1000,1000,1000,880
offers,880,-0.28,-0.28,Bajo,2,,,,,,,1000,1000,1000,1000,880,1000,880,880,880,1000,880,720
short inca trail,720,-0.34,-0.46,Bajo,5,1.79,8.19,,,,Y,880,880,880,880,590,590,720,720,720,590,480,390
lares trek,590,-0.33,-0.45,Bajo,15,1.1,4.97,,,,,720,880,880,590,480,480,590,590,590,720,590,480
machu picchu by train,590,-0.33,-0.33,Medio,55,1.31,5.88,,,,Y,720,880,720,590,720,480,320,590,590,720,480,480
full day tours,210,0.52,-0.18,Bajo,31,0.24,1.04,,,,,210,170,170,170,210,320,210,210,210,210,170,320
cusco day tours,170,-0.19,-0.19,Medio,55,1.58,5.95,,,,Y,210,260,210,170,170,140,110,140,170,210,210,170
day trips,170,-0.19,0.21,Bajo,28,1.57,9.56,,,,,140,140,140,110,140,210,140,170,260,210,170,170
machu picchu day tours,170,0,0.21,Bajo,9,6.03,26.69,,,,,90,170,210,170,170,170,140,170,110,170,110,170
luxury travel machu picchu,140,0,0.91,Bajo,6,2.59,7.27,< 1%,,,Y,170,90,70,110,140,50,70,90,390,210,210,210
machu picchu packages travel,140,-0.48,0.57,Bajo,7,1.4,8.2,,,,,140,140,140,210,90,70,260,210,110,210,70,110
peru vacation packages,140,2.4,0.89,Bajo,3,1.02,2.95,,,,Y,90,110,210,90,140,110,70,110,50,50,260,170
tailor made,110,-0.21,-0.21,Bajo,0,,,,,,,140,140,140,110,110,110,110,110,140,140,140,110
classic inca trail,90,-0.43,-0.76,Bajo,9,1.37,2.97,,,,Y,170,140,140,170,70,50,50,50,50,70,70,40
sacred valley day tours,90,-0.44,-0.44,Alto,75,2.11,6.42,,,,,110,90,140,50,40,40,70,70,110,90,90,50
special offers,40,0.67,0.25,Bajo,0,,,,,,,30,50,40,40,30,50,30,30,30,30,50,50
adventure tours,30,0,-0.25,Bajo,4,,,,,,,30,30,30,20,20,30,20,30,30,30,20,30
day tours,30,0.67,0.25,Bajo,9,,,,,,,40,30,40,20,30,30,20,50,30,30,30,50
luxury machu picchu,20,1,3,Bajo,7,1.86,7.99,,,,Y,10,10,10,20,20,10,10,20,30,20,20,40
luxury tours,20,13,13,Bajo,5,0.44,3.09,,,,,10,10,10,10,10,10,10,10,20,10,20,140
amazon packages,10,0,0,Bajo,0,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
cultural tours,10,0,0,Bajo,14,,,,,,,0,10,10,10,10,10,10,10,0,10,10,10
custom peru tours,10,1,1,Bajo,2,,,,,,Y,10,10,10,10,10,10,10,10,10,10,10,20
luxury train experiences,10,-1,0,,,,,,,,,10,0,0,0,10,0,0,0,0,10,0,0
machu picchu packages,10,0,0,Bajo,18,0.44,2.5,,,,Y,30,10,10,10,10,30,10,10,10,10,10,10
nature tours,10,-1,-1,,,,,,,,,10,10,10,0,10,0,10,10,10,10,10,0
peru travel deals,10,-1,-1,,,,,,,,,0,0,0,0,10,0,0,10,0,10,10,0
private tours,10,1,0,Bajo,7,,,,,,,20,20,10,10,10,20,10,10,10,10,10,20
tailor made tours,10,∞,0,Bajo,2,,,,,,,10,10,10,0,10,10,10,10,0,0,0,10
travel offers,10,0,0,Bajo,12,,,,,,,10,10,0,0,0,10,10,10,10,10,10,10
custom adventure tours,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
custom luxury tours,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
luxury travel offers,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
