Título,URL,Slug,Categoría de tour,Estilo de viaje,Etiquetas,Keyword principal,Keywords secundarias,Título SEO,Meta description,SEO score,Palabras,Publicado,Modificado,Estado,Clics,Impresiones,CTR,Posición,col_19,col_20
"Colonial Lima, Huacachina, and Sacred Land of the Incas 9D/8N",https://www.perugrandtravel.com/tour/colonial-lima-huacachina-and-sacred-land-of-the-incas-9-days/,colonial-lima-huacachina-and-sacred-land-of-the-incas-9-days,Tours in Peru,Combined Travel,"Ica Tours, Peru, Recommended",peru itinerary 9 days,,"9-Day Peru Itinerary with Lima, Huacachina & Cusco","Travel through Lima, Huacachina, Cusco and Machu Picchu on a 9-day Peru vacation combining culture, history and adventure.",68,0,2012-01-06,2026-06-02,publish,33,4564,0.00723049956178791,25.25,,
Andean Wedding full day,https://www.perugrandtravel.com/tour/andean-wedding-full-day/,andean-wedding-full-day,Day Tours in Cusco,Culture,Cusco,Andean Wedding,,Traditional Andean Wedding Ceremony in Chinchero,Participate in an authentic Andean wedding ceremony in Chinchero and experience Peru’s ancestral traditions.,80,0,2023-04-20,2026-06-04,publish,24,4112,0.00583657587548638,28.37,,
Peru Grand Deluxe by Belmond Andean Explorer 10 days,https://www.perugrandtravel.com/tour/peru-grand-deluxe-by-belmond-andean-explorer-10-days/,peru-grand-deluxe-by-belmond-andean-explorer-10-days,,,Luxury Peru Tours,Belmond Andean Explorer,,10-Day Luxury Peru Tour with Belmond Andean Explorer,"Experience a 10-day luxury Peru journey aboard Belmond Andean Explorer. Discover breathtaking Andean landscapes, highlights and comfort.",78,0,2024-12-13,2026-06-04,publish,23,19333,0.00118967568406352,45.14,,
The Condor Canyon in Cusco,https://www.perugrandtravel.com/tour/condor-canyon-cusco-full-day/,condor-canyon-cusco-full-day,,,,chonta canyon,,▷ The CONDOR CHONTA CANYON in Cusco Peru & Tour of 1 day,"Our Tour Viewpoint of the Condor in CHONTA CANYON, the best option to see condors in natural habitat, With Tour guide and Lunch included.",69,0,2022-03-25,2024-12-06,publish,19,1368,0.0138888888888889,16.5,,
Trek Humantay Lake & Salkantay Pass 2 Days,https://www.perugrandtravel.com/tour/trek-humantay-salkantay-2d/,trek-humantay-salkantay-2d,Inca Trail Treks,Trekking,Salkantay Treks,Humantay Lake trek,,2-Day Humantay Lake & Salkantay Pass Trek,Hike through the Andes visiting Humantay Lake and Salkantay Pass on a scenic 2-day trekking adventure. Book Now.,73,0,2024-08-12,2026-06-04,publish,12,3008,0.00398936170212766,41,,
Explore the Short Inca Trail with Amazon rainforest 8D/7N,https://www.perugrandtravel.com/tour/short-inca-trail-with-amazon-rainforest-8d/,short-inca-trail-with-amazon-rainforest-8d,Tours in Peru,Combined Travel,Peru,peru itinerary 8 days,,8-Day Peru Itinerary with Inca Trail & Amazon Jungle,"Combine the Inca Trail and Amazon Rainforest on an 8-day Peru adventure featuring Machu Picchu, wildlife encounters and the stunning Andes!",70,0,2012-01-05,2026-06-02,publish,9,1573,0.00572155117609663,41.98,,
Grand Deluxe Cusco & Machu Picchu by Luxury Collection hotels 5 days,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days/,grand-deluxe-cusco-machu-picchu-by-luxury-collection-hotels-5-days,,,Luxury Peru Tours,Luxury Collection hotels,,Private Machu Picchu Tour 5 Days with Luxury Collection Hotels,"Spoil yourself on a 5-day luxury journey through Cusco, the Sacred Valley and Machu Picchu staying at Luxury Collection Hotels.",75,0,2024-12-12,2026-06-04,publish,8,999,0.00800800800800801,38.33,,
Incredible Hidden Treasures + Huaraz 17D/16N,https://www.perugrandtravel.com/tour/hidden-treasures-huaraz-17d/,hidden-treasures-huaraz-17d,Tours in Peru,Combined Travel,"Arequipa Tours, Huaraz Tours, Peru, Recommended",peru itinerary 17 days,,"17-Day Peru Itinerary with Huaraz, Cusco & Machu Picchu","Explore Huaraz, Cusco, Machu Picchu, and Peru’s hidden treasures on an unforgettable 17-day Peru Package Tour.",75,0,2012-01-16,2026-06-03,publish,8,842,0.00950118764845606,21.05,,
Rainbow Mountain ATV Tour,https://www.perugrandtravel.com/tour/atv-rainbow-mountain/,atv-rainbow-mountain,Day Tours in Cusco,"Adrenaline, Adventure",Cusco,Rainbow Mountain ATV Tour,,Rainbow Mountain ATV Adventure Full Day,Enjoy an ATV adventure through Rainbow Mountain with panoramic Andean landscapes and unique cultural experiences.,78,0,2023-04-26,2026-06-04,publish,7,5927,0.00118103593723638,28.38,,
Awakening in a Dome on the Piuray Lagoon,https://www.perugrandtravel.com/tour/dome-piuray-lagoon/,dome-piuray-lagoon,,Culture,,Piuray Lagoon,,▷ Dome on the Piuray Lagoon is Unforgettable Experience,Explore the tranquility of the Piuray Lagoon Dome with our exclusive tour. A serene experience in the middle of nature.,72,0,2022-03-25,2024-12-06,publish,7,1539,0.00454840805717999,10.47,,
"Magical Machu Picchu experience, lunch Picnic with llamas 7D/6N",https://www.perugrandtravel.com/tour/machu-picchu-experience-picnic-with-llamas-7d/,machu-picchu-experience-picnic-with-llamas-7d,Tours in Machu Picchu,Traditional,Recommended,sacred valley picnic,,7-Day Machu Picchu Itinerary with Andean Picnic Experience,"Travel to Cusco, Sacred Valley, and Machu Picchu while enjoying gourmet picnic experiences surrounded by the Andes Mountains.",69,0,2012-02-07,2026-06-04,publish,7,1080,0.00648148148148148,13.21,,
"Peru Grand Deluxe  Lima, Cusco & Machu Picchu 7 days",https://www.perugrandtravel.com/tour/peru-grand-deluxe-lima-cusco-machu-picchu-7days/,peru-grand-deluxe-lima-cusco-machu-picchu-7days,,,Luxury Peru Tours,Belmond & Inkaterra,,"7-Day Luxury Peru Tour with Lima, Cusco & Machu Picchu","Indulge in a 7-day luxury Peru tour from Lima to Cusco and Machu Picchu with Belmond & Inkaterra. Stay in world-class hotels, explore Andes.",73,0,2024-12-12,2026-06-04,publish,6,4788,0.0012531328320802,45.6,,
Ausangate 7 lakes day trip,https://www.perugrandtravel.com/tour/ausangate-7-lakes-day-trip/,ausangate-7-lakes-day-trip,Day Tours in Cusco,"Adventure, Trekking",Cusco,ausangate 7 lakes,,Ausangate 7 Lakes Full-Day Tour from Cusco,Trek the colorful lakes of Ausangate on an unforgettable hiking adventure surrounded by breathtaking Andean scenery.,78,0,2023-09-29,2026-06-04,publish,6,3132,0.00191570881226054,37.66,,
Classic Inca Trail 4 days,https://www.perugrandtravel.com/tour/classic-inca-trail-4d/,classic-inca-trail-4d,Inca Trail Treks,Trekking,Inca Trail,inca trail 4 days,,4-Day Classic Inca Trail to Machu Picchu,Hike the original Inca Trail to Machu Picchu on a 4-day trekking adventure with camping and expert guides included.,75,0,2012-03-03,2026-06-04,publish,5,936,0.00534188034188034,64.17,,
Machu Picchu Full Day Tour,https://www.perugrandtravel.com/tour/machu-picchu-full-day/,machu-picchu-full-day,Tours in Machu Picchu,Traditional,Machu Picchu Tours,machu picchu full day,,1-Day Machu Picchu Tour from Cusco by Train,"Visit Machu Picchu in one day from Cusco. Including train tickets, transportation and a guided tour of the Inca citadel.",75,0,2012-02-01,2026-06-04,publish,4,7000,0.000571428571428572,30,,
Rainbow Mountain Peru day trip,https://www.perugrandtravel.com/tour/rainbow-mountain-full-day/,rainbow-mountain-full-day,Day Tours in Cusco,Trekking,"Cusco, Others",rainbow mountain peru tour from cusco,,Rainbow Mountain ATV Full-Day Tour from Cusco,Visit Vinicunca Rainbow Mountain by ATV and enjoy panoramic mountain views with less hiking effort and adventure.,71,0,2022-04-01,2026-06-04,publish,4,3008,0.00132978723404255,49.94,,
Unforgettable Machu Picchu 8D/7N,https://www.perugrandtravel.com/tour/unforgettable-machu-picchu-8d/,unforgettable-machu-picchu-8d,Tours in Machu Picchu,Traditional,"Cusco Blog, Machu Picchu Tours",machu picchu itinerary 8 days,,8-Day Machu Picchu Itinerary with Cusco & Sacred Valley,"Visit Cusco, Sacred Valley, and Machu Picchu on a complete 8-day itinerary filled with cultural experiences and stunning Andean landscapes.",78,0,2012-02-08,2026-06-04,publish,4,1205,0.0033195020746888,19.95,,
Short Inca Trail 2 days,https://www.perugrandtravel.com/tour/short-inca-trail-2d/,short-inca-trail-2d,Inca Trail Treks,Trekking,Inca Trail,inca trail 2 days,,2-Day Short Inca Trail to Machu Picchu,Hike the Short Inca Trail and arrive at Machu Picchu through the Sun Gate in an unforgettable 2-day adventure.,75,0,2012-03-01,2026-06-04,publish,3,2508,0.00119617224880383,74.68,,
Palccoyo Rainbow Mountain Full Day Tour,https://www.perugrandtravel.com/tour/palccoyo-rainbow-mountain-full-day/,palccoyo-rainbow-mountain-full-day,Day Tours in Cusco,Trekking,"Cusco, Others",palccoyo rainbow mountain tour,,Palccoyo Rainbow Mountain Full-Day Tour from Cusco,Take an expedition to Palccoyo Rainbow Mountain on a relaxed trek with panoramic Andean views and colorful rock formations.,80,0,2022-04-01,2026-06-04,publish,3,1697,0.00176782557454331,53.23,4 de las 6 fotos fueron elegidas para el nuevo web.,
Machu Picchu + Humantay Lake 6D/5N,https://www.perugrandtravel.com/tour/machu-picchu-humantay-lake-6d/,machu-picchu-humantay-lake-6d,Tours in Machu Picchu,Traditional,"Cusco Blog, Machu Picchu Tours, Recommended",machu picchu itinerary 6 days,,6-Day Machu Picchu Itinerary with Humantay Lake,"Combine culture and nature on a 6-day Peru itinerary visiting Cusco, Sacred Valley, Humantay Lake, and Machu Picchu.",73,0,2012-02-06,2026-06-04,publish,3,1176,0.00255102040816327,32.89,"Prices
Single Room
US$ 1058.00 / person
Double Room
US$ 819.00 / person
Triple Room
US$ 753.00 / person",http://147.135.114.64/machu-picchu-humantay-lake-6d5n
Incredible experience in Amazon rainforest 4 days,https://www.perugrandtravel.com/tour/amazon-rainforest-4d/,amazon-rainforest-4d,,,,peruvian amazon tour,,≫ Discover the Magic of the Amazon Rainforest (4 days),Explore the magic of the Amazon rainforest on a 4-day journey. Immerse yourself in its lush nature and discover its unique biodiversity.,61,0,2023-03-27,2025-04-02,publish,3,661,0.00453857791225416,77.67,falta precio,http://147.135.114.64/discover-magic-amazon-rainforest-4-days
Grand Deluxe Cusco & Machu Picchu by Belmond 5 days,https://www.perugrandtravel.com/tour/grand-deluxe-cusco-machu-picchu-by-belmond-5-days/,grand-deluxe-cusco-machu-picchu-by-belmond-5-days,,,Luxury Peru Tours,Belmond,,Private Machu Picchu Tour 5 Days with Belmond Luxury,"Experience a 5-day luxury journey through Cusco, the Sacred Valley and Machu Picchu with Belmond. Discover Peru’s culture and history.",75,0,2024-12-12,2026-06-04,publish,3,427,0.00702576112412178,25.33,"falta agregar un espacio para poner: Ask for your quotation. Las imágenes al subir, se ha pixeleado y bajado la calidad.",http://147.135.114.64/grand-deluxe-cusco-machu-picchu-belmond-5-days
"Maras, Moray and Salineras ATV tour",https://www.perugrandtravel.com/tour/maras-moray-and-salineras-atv-tour/,maras-moray-and-salineras-atv-tour,Day Tours in Cusco,Adrenaline,Cusco,maras salt mines tour,,Maras & Moray ATV Tour Full Day from Cusco,"Explore Maras and Moray by ATV while enjoying Andean scenery, culture, and nearby archaeological sites in Cusco.",60,0,2024-08-05,2026-06-04,publish,3,413,0.00726392251815981,27.13,falta agregar un espacio en precio para poner que es para 2 personas,http://147.135.114.64/maras-moray-and-salineras-atv-tour
Challenge of the Incas 15 days,https://www.perugrandtravel.com/tour/challenge-of-the-incas-15d/,challenge-of-the-incas-15d,Tours in Peru,Combined Travel,"Peru, Recommended",peru itinerary 15 days,,"≫ PERU ITINERARY 15 DAYS: Cusco, Puno & Lima Challenge","Discover the fascinating 15-day itinerary in Peru, a super travel experience where you can visit several destinations in Peru.",75,0,2012-01-14,2026-01-21,private,3,397,0.00755667506297229,29.05,,
Inti Raymi full day,https://www.perugrandtravel.com/tour/inti-raymi-full-day/,inti-raymi-full-day,,Events &amp; Festivals,Offers,Inti Raymi tour,,Inti Raymi Festival Tour in Cusco 2026,"Join the Inti Raymi Festival 2026 in Cusco, Peru, and experience one of the most iconic Inca cultural celebrations in South America.",77,0,2023-03-20,2026-06-04,publish,3,317,0.00946372239747634,29.37,,
Spectacular Peru 10D/9N,https://www.perugrandtravel.com/tour/spectacular-peru-10d/,spectacular-peru-10d,"Best Selling Packages in Peru, Tours in Peru",Combined Travel,"Lima Blog, Lima tours, Peru, Popular Deals, Puno Blog, Puno Tours",peru itinerary 10 days,,"10-Day Peru Itinerary with Machu Picchu, Cusco & Puno","Visit Peru’s amazing iconic destinations on a 10-day itinerary combining culture, history, and breathtaking landscapes.",69,0,2012-01-08,2026-06-02,publish,2,14875,0.000134453781512605,12.14,,
Incredible Experience Machu Picchu 7D/6N,https://www.perugrandtravel.com/tour/incredible-experience-machu-picchu-7d/,incredible-experience-machu-picchu-7d,Tours in Machu Picchu,,Machu Picchu Tours,machu picchu itinerary 7 days,,7-Day Machu Picchu Itinerary with Cusco & Sacred Valley,"Explore Cusco, Maras, Moray, Sacred Valley, and Machu Picchu on a complete journey through the heart of the Inca Empire.",73,0,2012-02-07,2026-06-04,publish,2,9169,0.000218126295124877,15.07,,
Inca Encounters 8D/7N,https://www.perugrandtravel.com/tour/inca-encounters-8d/,inca-encounters-8d,Tours in Peru,Combined Travel,"Peru, Puno Blog, Puno Tours",peru Itinerary 8 days,,"8-Day Peru Itinerary with Cusco, Machu Picchu & Puno","The ultimate 8-day Peru itinerary through Cusco, Machu Picchu and Puno. Explore Sacred Valley, Andean vistas and Lake Titicaca over 8 days.",72,0,2012-01-04,2026-06-02,publish,2,3455,0.000578871201157742,8.58,,
Origins and Mysteries of the Andes 16D/15N,https://www.perugrandtravel.com/tour/origins-and-mysteries-of-the-andes-16d/,origins-and-mysteries-of-the-andes-16d,Tours in Peru,Combined Travel,"Arequipa Tours, Ica Tours, Peru",peru Itinerary 16 days,,"16-Day Peru Itinerary with Lima, Nazca, Arequipa & Cusco","Uncover Peru’s top destinations in 16 days, including Lima, Nazca, Arequipa, Cusco, and Machu Picchu on an unforgettable journey.",72,0,2012-01-15,2026-06-03,publish,2,2490,0.000803212851405623,15.46,,
Classic Inca Trail + Transfers 7 days,https://www.perugrandtravel.com/tour/classic-inca-trail-7-days/,classic-inca-trail-7-days,Inca Trail Treks,Trekking,Inca Trail,classic inca trail,,7-Day Classic Inca Trail to Machu Picchu with Transfers,"Trek the legendary Inca Trail with transfers, expert guides, and unforgettable archaeological landscapes on the way to Machu Picchu.",75,0,2012-03-09,2026-06-04,publish,2,1357,0.00147383935151069,47.54,,
Lares Valley Trek to Machu Picchu 4 days,https://www.perugrandtravel.com/tour/lares-trek-4d/,lares-trek-4d,Alternative Inca Trail Treks,Trekking,Others,lares valley trek,,4-Day Lares Trek to Machu Picchu,Trek through remote Andean communities and stunning mountain landscapes on an alternative route to Machu Picchu.,71,0,2012-03-06,2026-06-04,publish,2,553,0.00361663652802893,66.22,,
