URL indexada (estructura antigua),Clics,Impresiones,CTR,Posición,Diagnóstico
https://www.perugrandtravel.com/blog/peru/where-to-buy-peruvian-pisco-2026,322,62720,0.00513392857142857,8.14,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/peru/there-snow-in-peru,96,35076,0.00273691412931919,5.91,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/cusco/santurantikuy,15,3792,0.00395569620253165,11.19,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/cusco,13,38713,0.000335804510112882,78.77,Categoría o listado del blog
https://www.perugrandtravel.com/blog/there-snow-in-peru,11,5175,0.0021256038647343,7.41,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/peru/peru-independence-day,10,572,0.0174825174825175,11.39,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog,8,7632,0.00104821802935011,74.58,Índice del blog
https://www.perugrandtravel.com/blog/where-to-buy-peruvian-pisco-2026,8,2714,0.00294767870302137,10.13,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/where-to-buy-peruvian-pisco,8,156,0.0512820512820513,10.99,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/peru/pachamama-day-in-peru,6,311,0.0192926045016077,8.48,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/money-in-peru-top-tips,2,53,0.0377358490566038,12.06,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/day-of-the-dead-in-cusco,2,22,0.0909090909090909,8.05,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/puno,1,312,0.00320512820512821,38.34,Categoría o listado del blog
https://www.perugrandtravel.com/blog/arequipa,1,308,0.00324675324675325,17.86,Categoría o listado del blog
https://www.perugrandtravel.com/blog/peru/money-in-peru-top-tips,1,100,0.01,35.56,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/peru/peru-all-inclusive-vacation-packages,1,61,0.0163934426229508,24.89,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/peru,1,48,0.0208333333333333,17.98,Categoría o listado del blog
https://www.perugrandtravel.com/blog/cusco/day-of-the-dead-in-cusco,1,29,0.0344827586206897,7.48,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/puerto-madonado/myths-of-amazon-rainforest-puerto-madonado-part-1,1,22,0.0454545454545455,1,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/wp-content/uploads/route-1c-machu-picchu-circuit-1-1069x560.jpg,1,13,0.0769230769230769,14.38,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/tag/inca-trail,1,11,0.0909090909090909,11.45,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/wp-content/uploads/route-3b-machu-picchu-circuit-3-1069x560.jpg,1,9,0.111111111111111,18.67,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/tag/paracas,1,6,0.166666666666667,17.5,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/wp-content/uploads/Baroque-tour-San-Juan-Bautista-de-Huaro-temple-1069x560.webp,1,2,0.5,9,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/amazonia,0,10483,0,76.11,Categoría o listado del blog
https://www.perugrandtravel.com/blog/ica,0,3628,0,76.56,Categoría o listado del blog
https://www.perugrandtravel.com/blog/luxury,0,546,0,78.44,Categoría o listado del blog
https://www.perugrandtravel.com/blog/nazca,0,335,0,64.26,Categoría o listado del blog
https://www.perugrandtravel.com/blog/lima,0,244,0,23.3,Categoría o listado del blog
https://www.perugrandtravel.com/blog/puerto-maldonado,0,203,0,43.13,Categoría o listado del blog
https://www.perugrandtravel.com/blog/peru/machu-picchu-vacation-packages,0,187,0,70.21,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/blog/peru-vacation-packages-to-explore,0,168,0,51.33,Sin post equivalente en el export — revisar redirección 301
https://www.perugrandtravel.com/tour-category/tours-in-peru,11,35131,0.000313113774159574,7.68,"Archivo de categoría de tours — no es una ficha, se genera por taxonomía"
https://www.perugrandtravel.com/blog,8,7633,0.00104808070221407,74.57,Índice del blog
https://www.perugrandtravel.com/tour-category/tours-in-machu-picchu,5,3207,0.00155908949173683,69.33,"Archivo de categoría de tours — no es una ficha, se genera por taxonomía"
https://www.perugrandtravel.com/tour-category/best-selling-packages-in-peru,5,1293,0.00386697602474865,3.95,"Archivo de categoría de tours — no es una ficha, se genera por taxonomía"
https://www.perugrandtravel.com/travel-styles/adrenaline,5,568,0.00880281690140845,19,Archivo de estilo de viaje — se genera por taxonomía
https://www.perugrandtravel.com/travel-styles/culture,1,182,0.0054945054945055,15.53,Archivo de estilo de viaje — se genera por taxonomía
https://www.perugrandtravel.com/tour-category/alternative-inca-trail-treks,1,121,0.00826446280991736,33.4,"Archivo de categoría de tours — no es una ficha, se genera por taxonomía"
https://www.perugrandtravel.com/tour-category/inca-trail-treks,1,11,0.0909090909090909,20.73,"Archivo de categoría de tours — no es una ficha, se genera por taxonomía"
